Sl.No.	key_word_eng	key_word_hin	word_forms_en	word_forms_hi	strongs_en	strongs_hi	references_en	
1	abomination	abomination	abomination, abominations, abominable, foul, disgusting thing	घृणा, घिनौने, घिनौना	['H6292', 'H8251', 'H8262', 'H8263', 'H8441', 'G946']	['H887', 'H6292', 'H8251', 'H8262', 'H8263', 'H8441', 'G946']	* [Ezra 09:1-2](rc://en/tn/help/ezr/09/01)* [Genesis 46:34](rc://en/tn/help/gen/46/34)* [Isaiah 01:13](rc://en/tn/help/isa/01/13)* [Matthew 24:15](rc://en/tn/help/mat/24/15)* [Proverbs 26:25](rc://en/tn/help/pro/26/25)	15009001. 15009002. 01046034. 23001013. 40024015. 20026025. 
2	adoption	adoption	adoption, adopt, adopted	लेपालक, गोद लेना, दत्तक	['G5206']	['G5206']	* [Ephesians 01:5](rc://en/tn/help/eph/01/5)* [Galatians 04:3-5](rc://en/tn/help/gal/04/03)* [Romans 08:14-15](rc://en/tn/help/rom/08/14)* [Romans 08:23](rc://en/tn/help/rom/08/23)* [Romans 09:04](rc://en/tn/help/rom/09/04)	48004003. 48004004. 48004005. 45008014. 45008015. 45008023. 45009004. 
3	adultery	adultery	adultery, adulterous, adulterer, adulteress, adulterers, adulteresses	व्यभिचार, व्यभिचारी, व्यभिचारी, व्यभिचारिणी, व्यभिचारी,व्यभिचारिणियों	['H5003', 'H5004', 'G3428', 'G3429', 'G3430', 'G3431', 'G3432']	['H5003', 'H5004', 'G3428', 'G3429', 'G3430', 'G3431', 'G3432']	* [Exodus 20:14](rc://en/tn/help/exo/20/14)* [Hosea 04:1-2](rc://en/tn/help/hos/04/01)* [Luke 16:18](rc://en/tn/help/luk/16/18)* [Matthew 05:28](rc://en/tn/help/mat/05/28)* [Matthew 12:39](rc://en/tn/help/mat/12/39)* [Revelation 02:22](rc://en/tn/help/rev/02/22)	02020014. 28004001. 28004002. 42016018. 40005028. 40012039. 66002022. 
4	almighty	almighty	Almighty	सर्वशक्तिमान	['H7706', 'G3841']	['H7706', 'G3841']	* [Exodus 06:2-5](rc://en/tn/help/exo/06/02)* [Genesis 17:01](rc://en/tn/help/gen/17/01)* [Genesis 35:11-13](rc://en/tn/help/gen/35/11)* [Job 08:03](rc://en/tn/help/job/08/03)* [Numbers 24:15-16](rc://en/tn/help/num/24/15)* [Revelation 01:7-8](rc://en/tn/help/rev/01/07)* [Ruth 01:19-21](rc://en/tn/help/rut/01/19)	02006002. 02006003. 02006004. 02006005. 01017001. 01035011. 01035012. 01035013. 18008003. 04024015. 04024016. 66001007. 66001008. 08001019. 08001020. 08001021. 
5	altar	altar	altar, altars	वेदी, वेदियों	['H741', 'H2025', 'H4056', 'H4196', 'G1041', 'G2379']	['H741', 'H2025', 'H4056', 'H4196', 'G1041', 'G2379']	* [Genesis 08:20](rc://en/tn/help/gen/08/20)* [Genesis 22:09](rc://en/tn/help/gen/22/09)* [James 02:21](rc://en/tn/help/jas/02/21)* [Luke 11:49-51](rc://en/tn/help/luk/11/49)* [Matthew 05:23](rc://en/tn/help/mat/05/23)* [Matthew 23:19](rc://en/tn/help/mat/23/19)	01008020. 01022009. 59002021. 42011049. 42011050. 42011051. 40005023. 40023019. 
6	amen	amen	amen, truly	आमीन, सच में	['H543', 'G281']	['H543', 'G281']	* [Deuteronomy 27:15](rc://en/tn/help/deu/27/15)* [John 05:19](rc://en/tn/help/jhn/05/19)* [Jude 01:24-25](rc://en/tn/help/jud/01/24)* [Matthew 26:33-35](rc://en/tn/help/mat/26/33)* [Philemon 01:23-25](rc://en/tn/help/phm/01/23)* [Revelation 22:20-21](rc://en/tn/help/rev/22/20)	05027015. 43005019. 65001024. 65001025. 40026033. 40026034. 40026035. 57001023. 57001024. 57001025. 66022020. 66022021. 
7	angel	angel	angel, angels, archangel	स्वर्गदूत, स्वर्गदूतों, प्रधान स्वर्गदूत	['H47', 'H430', 'H4397', 'G32', 'G743', 'G2465']	['H47', 'H430', 'H4397', 'H4398', 'H8136', 'G32', 'G743', 'G2465']	* [2 Samuel 24:16](rc://en/tn/help/2sa/24/16)* [Acts 10:3-6](rc://en/tn/help/act/10/03)* [Acts 12:23](rc://en/tn/help/act/12/23)* [Colossians 02:18-19](rc://en/tn/help/col/02/18)* [Genesis 48:16](rc://en/tn/help/gen/48/16)* [Luke 02:13](rc://en/tn/help/luk/02/13)* [Mark 08:38](rc://en/tn/help/mrk/08/38)* [Matthew 13:50](rc://en/tn/help/mat/13/50)* [Revelation 01:20](rc://en/tn/help/rev/01/20)* [Zechariah 01:09](rc://en/tn/help/zec/01/09)	10024016. 44010003. 44010004. 44010005. 44010006. 44012023. 51002018. 51002019. 01048016. 42002013. 41008038. 40013050. 66001020. 38001009. 
8	anoint	anoint	anoint, anointed, anointing, sons of fresh olive oil	अभिषेक करना, अभिषिक्त, अभिषेक	['H430', 'H1101', 'H1878', 'H3323', 'H4473', 'H4886', 'H4888', 'H4899', 'H5480', 'G218', 'G1472', 'G3462', 'G5545', 'G5548']	['H47', 'H430', 'H4397', 'H4398', 'H8136', 'G32', 'G743', 'H1101', 'H1878', 'H3323', 'H4473', 'H4886', 'H4888', 'H4899', 'H5480', 'G218', 'G1472', 'G2025', 'G3462', 'G5545', 'G5548']	* [1 John 02:20](rc://en/tn/help/1jn/02/20)* [1 John 02:27](rc://en/tn/help/1jn/02/27)* [1 Samuel 16:2-3](rc://en/tn/help/1sa/16/02)* [Acts 04:27-28](rc://en/tn/help/act/04/27)* [Amos 06:5-6](rc://en/tn/help/amo/06/05)* [Exodus 29:5-7](rc://en/tn/help/exo/29/05)* [James 05:13-15](rc://en/tn/help/jas/05/13)	62002020. 62002027. 09016002. 09016003. 44004027. 44004028. 30006005. 30006006. 02029005. 02029006. 02029007. 59005013. 59005014. 59005015. 
9	antichrist	antichrist	antichrist, antichrists	मसीह का विरोधी, मसीह के विरोधी	['G500']	['G500']	* [1 John 02:18](rc://en/tn/help/1jn/02/18)* [1 John 04:03](rc://en/tn/help/1jn/04/03)* [2 John 01:07](rc://en/tn/help/2jn/01/07)	62002018. 62004003. 63001007. 
10	apostle	apostle	apostle, apostles, apostleship	प्रेरित, प्रेरितों, प्रेरिताई	['G651', 'G652', 'G2491', 'G5376', 'G5570']	['G651', 'G652', 'G2491', 'G5376', 'G5570']	* [Jude 01:17-19](rc://en/tn/help/jud/01/17)* [Luke 09:12-14](rc://en/tn/help/luk/09/12)	65001017. 65001018. 65001019. 42009012. 42009013. 42009014. 
11	appoint	appoint	appoint, appoints, appointed, appointment, ordered, desired, directed, selected, reserved	ठहराए, नियुक्त करना, निुयक्त किया	['H561', 'H977', 'H2163', 'H2706', 'H2708', 'H3198', 'H3245', 'H3259', 'H4150', 'H4152', 'H4483', 'H4487', 'H4662', 'H5414', 'H5975', 'H6310', 'H6485', 'H6680', 'H6942', 'H6966', 'H7760', 'H7761', 'H7896', 'G322', 'G606', 'G2525', 'G2749', 'G4296', 'G4384', 'G4929', 'G5021', 'G5087']	['H561', 'H977', 'H2163', 'H2296', 'H2706', 'H2708', 'H2710', 'H3198', 'H3245', 'H3259', 'H3677', 'H3983', 'H4150', 'H4151', 'H4152', 'H4487', 'H4662', 'H5324', 'H5344', 'H5414', 'H5567', 'H5975', 'H6310', 'H6485', 'H6565', 'H6635', 'H6680', 'H6923', 'H6942', 'H6966', 'H7760', 'H7896', 'G322', 'G606', 'G1299', 'G1303', 'G1935', 'G2525', 'G2749', 'G4287', 'G4384', 'G4929', 'G5021', 'G5087']	* [1 Samuel 08:11](rc://en/tn/help/1sa/08/11)* [Acts 03:20](rc://en/tn/help/act/03/20)* [Acts 06:02](rc://en/tn/help/act/06/02)* [Acts 13:48](rc://en/tn/help/act/13/48)* [Genesis 41:33-34](rc://en/tn/help/gen/41/33)* [Numbers 03:9-10](rc://en/tn/help/num/03/09)	09008011. 44003020. 44006002. 44013048. 01041033. 01041034. 04003009. 04003010. 
12	ark	ark	ark	जहाज़	['H727', 'H8392', 'G2787']	['H727', 'H8392', 'G2787']	* [1 Peter 03:20](rc://en/tn/help/1pe/03/20)* [Exodus 16:33-36](rc://en/tn/help/exo/16/33)* [Exodus 30:06](rc://en/tn/help/exo/30/06)* [Genesis 08:4-5](rc://en/tn/help/gen/08/04)* [Luke 17:27](rc://en/tn/help/luk/17/27)* [Matthew 24:37-39](rc://en/tn/help/mat/24/37)	60003020. 02016033. 02016034. 02016035. 02016036. 02030006. 01008004. 01008005. 42017027. 40024037. 40024038. 40024039. 
