Sl.No.	English Word forms	Hindi Dictionary Translation	Definition/Facts/Descrption	Stong’s Number	References	Aligned Words
1	abomination, abominations, abominable, foul, disgusting thing	घृणा, घिनौने, घिनौना	'The term "abomination" is used to refer to something that causes disgust or extreme dislike.  * The Egyptians considered the Hebrew people to be an "abomination." This means that the Egyptians disliked the Hebrews and didn''t want to associate with them or be near them. * Some of the things that the Bible calls "an abomination to Yahweh" include lying, pride, sacrificing humans, worship of idols, murder, and sexual sins such as adultery and homosexual acts. * In teaching his disciples about the end times, Jesus referred to a prophecy by the prophet Daniel about an "abomination of desolation" that would be set up as a rebellion against God, defiling his place of worship.'	G946		
2	adoption, adopt, adopted	लेपालक, गोद लेना, दत्तक	The terms "adopt" and "adoption" refer to the process of someone legally becoming the child of people who are not his biological parents.  * The Bible uses "adoption" and "adopt" in a figurative way to describe how God causes people to be part of his family, making them his spiritual sons and daughters. * As adopted children, God makes believers to be co-heirs with Jesus Christ, giving them all of the privileges of sons and daughters of God.	G5206	48004003 ,48004004 ,48004005 ,45008014 ,45008015 ,45008023 ,45009004	
3	adultery, adulterous, adulterer, adulteress, adulterers, adulteresses	व्यभिचार, व्यभिचारी, व्यभिचारी, व्यभिचारिणी, व्यभिचारी,व्यभिचारिणियों	'The term "adultery" refers to a sin that occurs when a married person has sexual relations with someone who is not that person''s spouse. Both of them are guilty of adultery. The term "adulterous" describes this kind of behavior or any person who commits this sin.  * The term "adulterer" refers generally to any person who commits adultery. * Sometimes the term "adulteress" is used to specify that it was a woman who committed adultery. * Adultery breaks the promises that a husband and wife made to each other in their covenant of marriage. * God commanded the Israelites to not commit adultery. * The term "adulterous" is often used in a figurative sense to describe the people of Israel as being unfaithful to God, especially when they worshiped false gods.'	G3428,G3429,G3430,G3431,G3432	42016018 ,40005028 ,40012039 ,66002022	
4	Almighty	सर्वशक्तिमान	The term "Almighty" literally means "all-powerful"; in the Bible, it always refers to God.  * The titles "the Almighty" or "the Almighty One" refer to God and reveal that he has complete power and authority over everything. * This term is also used to describe God in the titles "Almighty God" and "God Almighty" and "Lord Almighty" and "Lord God Almighty."	G3841	66001007 ,66001008	
5	altar, altars	वेदी, वेदियों	An altar was a raised structure on which the Israelites burned animals and grains as offerings to God.  * During Bible times, simple altars were often made by forming a mound of packed-down dirt or by carefully placing large stones to form a stable pile. * Some special box-shaped altars were made of wood overlaid with metals such as gold, brass, or bronze. * Other people groups living near the Israelites also built altars to offer sacrifices to their gods.   )	G1041,G2379	59002021 ,42011049 ,42011050 ,42011051 ,40005023 ,40023019	
6	amen, truly	आमीन, सच में	The term "amen" is a word used to emphasize or call attention to what a person has said. It is often used at the end of a prayer. Sometimes it is translated as "truly."  * When used at the end of a prayer, "amen" communicates agreement with the prayer or expresses a desire that the prayer be fulfilled. * In his teaching, Jesus used "amen" to emphasize the truth of what he said. He often followed that by "and I say to you" to introduce another teaching that related to the previous teaching. * When Jesus uses "amen" this way, some English versions (and the ULB) translate this as "verily" or  "truly." * Another word meaning "truly" is sometimes translated as "surely" or "certainly" and is also used to emphasize what the speaker is saying.	G281	43005019 ,65001024 ,65001025 ,40026033 ,40026034 ,40026035 ,57001023 ,57001024 ,57001025 ,66022020 ,66022021	
7	angel, angels, archangel	स्वर्गदूत, स्वर्गदूतों, प्रधान स्वर्गदूत	'An angel is a powerful spirit being whom God created. Angels exist to serve God by doing whatever he tells them to do. The term "archangel" refers to the angel who rules or leads all the other angels.  * The word "angel" literally means "messenger." * The term "archangel" literally means "chief messenger." The only angel referred to in the Bible as an "archangel" is Michael. * In the Bible, angels gave messages to people from God. These messages included instructions about what God wanted the people to do. * Angels also told people about events that were going to happen in the future or events that had already happened. * Angels have God''s authority as his representatives and sometimes in the Bible they spoke as if God himself was speaking. * Other ways that angels serve God are by protecting and strengthening people. * A special phrase, "angel of Yahweh," has more than one possible meaning: 1) It may mean "angel who represents Yahweh" or "messenger who serves Yahweh." 2) It may refer to Yahweh himself, who looked like an angel as he talked to a person. Either one of these meanings would explain the angel''s use of "I" as if Yahweh himself was talking.'	G32,G743,G2465	44010003 ,44010004 ,44010005 ,44010006 ,44012023 ,51002018 ,51002019 ,42002013 ,41008038 ,40013050 ,66001020	
8	anoint, anointed, anointing, sons of fresh olive oil	अभिषेक करना, अभिषिक्त, अभिषेक	The term "anoint" means to rub or pour oil on a person or object. Sometimes the oil was mixed with spices, giving it a sweet, perfumed smell. The term is also used figuratively to refer to the Holy Spirit choosing and empowering someone.  * In the Old Testament, priests, kings, and prophets were anointed with oil to set them apart for special service to God. * Objects such as altars or the tabernacle were also anointed with oil to show that they were to be used to worship and glorify God. * In the New Testament, sick people were anointed with oil for their healing. * The New Testament records two times that Jesus was anointed with perfumed oil by a woman, as an act of worship. One time Jesus commented that in doing this she was preparing him for his future burial. * After Jesus died, his friends prepared his body for burial by anointing it with oils and spices. * The titles "Messiah" (Hebrew) and "Christ" (Greek) mean "the Anointed (One)." * Jesus the Messiah is the one who was chosen and anointed as a Prophet, High Priest, and King.	G32,G743,G218,G1472,G2025,G3462,G5545,G5548	62002020 ,62002027 ,44004027 ,44004028 ,59005013 ,59005014 ,59005015	
9	antichrist, antichrists	मसीह का विरोधी, मसीह के विरोधी	'The term "antichrist" refers to a person or teaching that is against Jesus Christ and his work. There are many antichrists in the world.  * The apostle John wrote that a person is the antichrist if he deceives people by saying that Jesus is not the Messiah or if he denies that Jesus is both God and human. * The Bible also teaches that there is a general spirit of antichrist in the world which opposes Jesus'' work. * The New Testament book of Revelation explains that there will be a man called "the antichrist" who will be revealed in the end times. This man will attempt to destroy God''s people, but he will be defeated by Jesus.'	G500	62002018 ,62004003 ,63001007	
10	apostle, apostles, apostleship	प्रेरित, प्रेरितों, प्रेरिताई	'The "apostles" were men sent by Jesus to preach about God and his kingdom. The term "apostleship" refers to the position and authority of those who were chosen as apostles.  * The word "apostle" means "someone who is sent out for a special purpose." The apostle has the same authority as the one who sent him. * Jesus'' twelve closest disciples became the first apostles. Other men, such as Paul and James, also became apostles. * By God''s power, the apostles were able to boldly preach the gospel and heal people, and were able to force demons to come out of people.'	G651, G652, G2491, G5376, G5570	65001017 ,65001018 ,65001019 ,42009012 ,42009013 ,42009014	
